time,actual time,voltage,current,chargeq,dischargeq,CE
4840,14595,4.25202,0.683939,,,
4850,14605,4.25247,0.675456,,,
4860,14615,4.25302,0.671556,,,
4870,14625,4.25346,0.663236,,,
4880,14635,4.2542,0.664313,,,
4890,14645,4.25352,0.664314,,,
4900,14655,4.24974,0.654525,,,
4910,14665,4.24858,0.641684,,,
4920,14675,4.24879,0.638544,,,
4930,14685,4.24932,0.624801,,,
4940,14695,4.24976,0.616531,,,
4950,14705,4.25039,0.613281,,,
4960,14715,4.25087,0.609128,,,
4970,14725,4.25155,0.603071,,,
4980,14735,4.25178,0.60187,,,
4990,14745,4.25073,0.598338,,,
5000,14755,4.2514,0.594061,,,
5010,14765,4.25197,0.593489,,,
5020,14775,4.25274,0.591887,,,
5030,14785,4.25326,0.59129,,,
5040,14795,4.25383,0.589123,,,
5050,14805,4.2544,0.585537,,,
5060,14815,4.25335,0.582777,,,
5070,14825,4.25418,0.580765,,,
5080,14835,4.25342,0.579703,,,
5090,14845,4.25174,0.57808,,,
5100,14855,4.25222,0.566482,,,
5110,14865,4.25267,0.560757,,,
5120,14875,4.25323,0.556208,,,
5130,14885,4.25402,0.554545,,,
5140,14895,4.25449,0.552022,,,
5150,14905,4.25259,0.547061,,,
5160,14915,4.25221,0.544219,,,
5170,14925,4.25274,0.539702,,,
5180,14935,4.25324,0.53704,,,
5190,14945,4.25387,0.533743,,,
5200,14955,4.25454,0.526813,,,
5210,14966,4.25348,0.526814,,,
5220,14976,4.25217,0.51968,,,
5230,14986,4.25265,0.512479,,,
5240,14996,4.25329,0.505416,,,
5250,15006,4.2539,0.502567,,,
5260,15016,4.25415,0.499882,,,
5270,15026,4.25153,0.493999,,,
5280,15036,4.25208,0.488755,,,
5290,15046,4.25258,0.479576,,,
5300,15056,4.25293,0.474024,,,
5310,15066,4.25363,0.471604,,,
5320,15076,4.25411,0.466945,,,
5330,15086,4.25442,0.465659,,,
5340,15096,4.25218,0.462343,,,
5350,15106,4.25259,0.455709,,,
5360,15116,4.25311,0.448,,,
5370,15126,4.25362,0.444887,,,
5380,15136,4.25427,0.44025,,,
5390,15146,4.25268,0.44025,,,
5400,15156,4.25194,0.432911,,,
5410,15166,4.25227,0.426621,,,
5420,15177,4.25274,0.419032,,,
5430,15187,4.25339,0.414846,,,
5440,15197,4.25393,0.408709,,,
5450,15207,4.25448,0.40547,,,
5460,15217,4.25509,0.401985,,,
5470,15227,4.25585,0.399098,,,
5480,15237,4.25636,0.399309,,,
5490,15247,4.25398,0.39706,,,
5500,15257,4.25426,0.394336,,,
5510,15267,4.2545,0.388528,,,
5520,15277,4.25515,0.386395,,,
5530,15287,4.25563,0.380596,,,
5540,15297,4.25622,0.378577,,,
5550,15307,4.25636,0.377376,,,
5560,15317,4.25426,0.37082,,,
5570,15327,4.25448,0.365365,,,
5580,15337,4.25495,0.362816,,,
5590,15347,4.25535,0.358653,,,
5600,15357,4.25601,0.35252,,,
5610,15367,4.25647,0.351532,,,
5620,15378,4.25451,0.348384,,,
5630,15389,4.25406,0.340819,,,
5640,15399,4.25449,0.338411,,,
5650,15409,4.25502,0.331863,,,
5660,15419,4.25536,0.32806,,,
5670,15429,4.25599,0.32693,,,
5680,15439,4.25662,0.325212,,,
5690,15449,4.25357,0.318012,,,
5700,15459,4.2539,0.315384,,,
5710,15469,4.25435,0.309505,,,
5720,15479,4.25468,0.306165,,,
5730,15489,4.2552,0.304998,,,
5740,15499,4.25564,0.299838,,,
5750,15509,4.25628,0.296468,,,
5760,15519,4.25597,0.294656,,,
5770,15531,4.25368,0.287936,,,
5780,15541,4.2542,0.281171,,,
5790,15551,4.25451,0.278671,,,
5800,15561,4.25481,0.274821,,,
5810,15571,4.2553,0.271747,,,
5820,15581,4.25582,0.270387,,,
5830,15591,4.25636,0.266989,,,
5840,15601,4.25667,0.265853,,,
5850,15611,4.25381,0.265804,,,
5860,15621,4.25411,0.257492,,,
5870,15631,4.25444,0.252005,,,
5880,15641,4.25465,0.250808,,,
5890,15651,4.25513,0.247,,,
5900,15661,4.25551,0.245145,,,
5910,15671,4.25586,0.241644,,,
5920,15681,4.25627,0.23964,,,
5930,15691,4.25665,0.238034,,,
5940,15702,4.25556,0.234626,,,
5950,15712,4.2559,0.230936,,,
5960,15722,4.25635,0.226875,,,
5970,15732,4.25654,0.226018,,,
